Part No,Name,Primary Customer,Lead Time,Min Inv,Max Inv,Inv WIP,Inv FG,Non Useable Inventory,Demand Type,Past Due,10/1/2025,10/2/2025,10/3/2025,10/4/2025,10/5/2025,10/6/2025,10/7/2025,10/8/2025,10/9/2025,10/10/2025,10/11/2025,10/12/2025,10/13/2025,10/14/2025,10/15/2025,10/16/2025,10/17/2025,10/18/2025,10/19/2025,10/20/2025,10/21/2025,10/22/2025,10/23/2025,10/24/2025,10/25/2025,10/26/2025,10/27/2025,10/28/2025,10/29/2025,10/30/2025,10/31/2025,11/1/2025,11/2/2025,11/3/2025,11/4/2025,11/5/2025,11/6/2025,11/7/2025,11/8/2025,11/9/2025,11/10/2025,11/11/2025,11/12/2025,11/13/2025,11/14/2025,11/15/2025,11/16/2025,11/17/2025,11/18/2025,11/19/2025,11/20/2025,11/21/2025,Fecha De Actualizacion
FGBMGO00001-DC-23,Glass Run Front base LH Service Part,BMW NA,7,0,0,0,0,0,Customer Releases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00001-DC-23,Glass Run Front base LH Service Part,BMW NA,7,0,0,0,0,0,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00001-DC-23,Glass Run Front base LH Service Part,BMW NA,7,0,0,0,0,0,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00001-DC-23,Glass Run Front base LH Service Part,BMW NA,7,0,0,0,0,0,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00001-DC-23,Glass Run Front base LH Service Part,BMW NA,7,0,0,0,0,0,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00001-DC-23,Glass Run Front base LH Service Part,BMW NA,7,0,0,0,0,0,Net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00002-DC-23,Glass Run Front base RH Service Part,BMW NA,7,0,0,0,0,0,Customer Releases,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00002-DC-23,Glass Run Front base RH Service Part,BMW NA,7,0,0,0,0,0,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00002-DC-23,Glass Run Front base RH Service Part,BMW NA,7,0,0,0,0,0,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00002-DC-23,Glass Run Front base RH Service Part,BMW NA,7,0,0,0,0,0,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00002-DC-23,Glass Run Front base RH Service Part,BMW NA,7,0,0,0,0,0,Scheduled,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00002-DC-23,Glass Run Front base RH Service Part,BMW NA,7,0,0,0,0,0,Net,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
